Previous,Current,DayofWeek,Anacortes,Interisland,Kingston,Fauntleroy,Mukilteo,Point_Defiance,Coupeville,Bainbridge,Bremerton,State
3/3/2019,3/1/2020,Sunday,9%,33%,-9%,0%,-16%,-5%,-10%,-4%,10%,-5%
3/4/2019,3/2/2020,Monday,3%,0%,-9%,6%,-8%,-7%,-11%,-14%,-14%,-8%
3/5/2019,3/3/2020,Tuesday,-3%,-10%,-10%,2%,-9%,1%,-9%,-19%,-15%,-11%
3/6/2019,3/4/2020,Wednesday,11%,8%,1%,9%,-4%,16%,4%,-11%,-17%,-3%
3/7/2019,3/5/2020,Thursday,-8%,18%,1%,16%,-1%,-5%,8%,-22%,-23%,-8%
3/8/2019,3/6/2020,Friday,-8%,-23%,-9%,-2%,-4%,-2%,-3%,-30%,-20%,-14%
3/9/2019,3/7/2020,Saturday,-15%,-3%,-18%,-21%,-15%,-18%,-16%,-34%,-31%,-24%
3/10/2019,3/8/2020,Sunday,-16%,60%,-16%,-21%,-6%,-20%,-12%,-37%,-33%,-22%
3/11/2019,3/9/2020,Monday,-3%,26%,-8%,-12%,-10%,2%,-7%,-36%,-32%,-19%
3/12/2019,3/10/2020,Tuesday,-15%,-3%,-12%,-15%,-15%,-22%,-8%,-40%,-37%,-24%
3/13/2019,3/11/2020,Wednesday,-13%,16%,-21%,-23%,-13%,-10%,-29%,-45%,-51%,-30%
3/14/2019,3/12/2020,Thursday,-10%,21%,-20%,-22%,-22%,-21%,-14%,-50%,-53%,-33%
3/15/2019,3/13/2020,Friday,-6%,-37%,-31%,-38%,-25%,-25%,-40%,-57%,-56%,-39%
3/16/2019,3/14/2020,Saturday,-38%,-48%,-46%,-47%,-40%,-53%,-49%,-67%,-74%,-54%
3/17/2019,3/15/2020,Sunday,-22%,-22%,-39%,-47%,-27%,-42%,-30%,-66%,-71%,-48%
3/18/2019,3/16/2020,Monday,-19%,-33%,-34%,-37%,-31%,-39%,-38%,-62%,-59%,-44%
3/19/2019,3/17/2020,Tuesday,-34%,-36%,-42%,-40%,-41%,-39%,-48%,-70%,-67%,-52%
3/20/2019,3/18/2020,Wednesday,-38%,-25%,-44%,-42%,-34%,-36%,-45%,-70%,-69%,-51%
3/21/2019,3/19/2020,Thursday,-45%,-6%,-46%,-45%,-36%,-43%,-49%,-74%,-73%,-55%
3/22/2019,3/20/2020,Friday,-49%,1%,-47%,-48%,-28%,-46%,-42%,-72%,-72%,-53%
3/23/2019,3/21/2020,Saturday,-61%,-49%,-55%,-58%,-36%,-66%,-55%,-82%,-84%,-64%
3/24/2019,3/22/2020,Sunday,-65%,-39%,-65%,-64%,-50%,-71%,-52%,-82%,-80%,-68%
3/25/2019,3/23/2020,Monday,-58%,-32%,-54%,-56%,-46%,-48%,-62%,-79%,-74%,-63%
3/26/2019,3/24/2020,Tuesday,-59%,-46%,-65%,-63%,-61%,-52%,-70%,-81%,-80%,-69%
3/27/2019,3/25/2020,Wednesday,-67%,-63%,-66%,-65%,-64%,-60%,-74%,-84%,-78%,-72%
3/28/2019,3/26/2020,Thursday,-71%,-85%,-71%,-71%,-67%,-60%,-77%,-87%,-86%,-77%
3/29/2019,3/27/2020,Friday,-80%,-41%,-76%,-71%,-73%,-64%,-81%,-88%,-86%,-79%
3/30/2019,3/28/2020,Saturday,-89%,-75%,-86%,-82%,-80%,-84%,-90%,-92%,-91%,-87%
3/31/2019,3/29/2020,Sunday,-88%,-57%,-83%,-80%,-77%,-80%,-87%,-92%,-92%,-85%
4/1/2019,3/30/2020,Monday,-80%,-56%,-72%,-73%,-71%,-61%,-83%,-87%,-88%,-78%
4/2/2019,3/31/2020,Tuesday,-76%,-64%,-73%,-74%,-69%,-57%,-83%,-88%,-88%,-77%
4/3/2019,4/1/2020,Wednesday,-73%,-67%,-72%,-71%,-67%,-61%,-80%,-87%,-89%,-76%
4/4/2019,4/2/2020,Thursday,-75%,-42%,-74%,-71%,-67%,-55%,-82%,-88%,-91%,-78%
4/5/2019,4/3/2020,Friday,-77%,-57%,-74%,-70%,-66%,-55%,-80%,-87%,-89%,-77%
4/6/2019,4/4/2020,Saturday,-82%,-67%,-76%,-71%,-62%,-63%,-82%,-89%,-89%,-77%
4/7/2019,4/5/2020,Sunday,-84%,-72%,-78%,-73%,-66%,-65%,-77%,-88%,-89%,-79%
4/8/2019,4/6/2020,Monday,-76%,-49%,-67%,-66%,-59%,-53%,-72%,-87%,-88%,-73%
4/9/2019,4/7/2020,Tuesday,-70%,-48%,-67%,-69%,-64%,-55%,-73%,-87%,-89%,-74%
4/10/2019,4/8/2020,Wednesday,-70%,-59%,-66%,-64%,-56%,-50%,-70%,-86%,-89%,-72%
4/11/2019,4/9/2020,Thursday,-76%,-56%,-63%,-65%,-55%,-45%,-69%,-87%,-89%,-72%
4/12/2019,4/10/2020,Friday,-79%,-56%,-70%,-65%,-57%,-66%,-74%,-85%,-90%,-74%
4/13/2019,4/11/2020,Saturday,-76%,-66%,-71%,-67%,-59%,-63%,-69%,-87%,-91%,-75%
4/14/2019,4/12/2020,Sunday,-81%,-73%,-68%,-68%,-53%,-75%,-75%,-85%,-90%,-73%
4/15/2019,4/13/2020,Monday,-63%,-45%,-62%,-67%,-57%,-37%,-69%,-86%,-89%,-71%
4/16/2019,4/14/2020,Tuesday,-65%,-57%,-62%,-65%,-56%,-46%,-71%,-86%,-88%,-71%
4/17/2019,4/15/2020,Wednesday,-65%,-44%,-60%,-65%,-52%,-48%,-70%,-86%,-89%,-70%
4/18/2019,4/16/2020,Thursday,-68%,-26%,-56%,-61%,-48%,-42%,-66%,-86%,-89%,-68%
4/19/2019,4/17/2020,Friday,-75%,-46%,-62%,-62%,-49%,-48%,-60%,-85%,-89%,-69%
4/20/2019,4/18/2020,Saturday,-80%,-61%,-73%,-75%,-65%,-72%,-75%,-90%,-89%,-78%
4/21/2019,4/19/2020,Sunday,-76%,-50%,-73%,-71%,-59%,-66%,-70%,-86%,-87%,-74%
4/22/2019,4/20/2020,Monday,-74%,-26%,-57%,-62%,-53%,-43%,-65%,-83%,-87%,-68%
4/23/2019,4/21/2020,Tuesday,-70%,-33%,-59%,-65%,-51%,-45%,-69%,-85%,-88%,-69%
4/24/2019,4/22/2020,Wednesday,-71%,-43%,-65%,-62%,-60%,-83%,-77%,-85%,-88%,-73%
4/25/2019,4/23/2020,Thursday,-70%,-43%,-63%,-68%,-58%,-49%,-68%,-86%,-89%,-72%
4/26/2019,4/24/2020,Friday,-81%,-31%,-64%,-63%,-54%,-45%,-66%,-84%,-89%,-71%
4/27/2019,4/25/2020,Saturday,-84%,-76%,-70%,-71%,-61%,-60%,-68%,-87%,-89%,-76%
4/28/2019,4/26/2020,Sunday,-76%,-61%,-67%,-65%,-54%,-57%,-68%,-86%,-89%,-72%
4/29/2019,4/27/2020,Monday,-62%,-16%,-57%,-63%,-52%,-45%,-63%,-84%,-86%,-67%
4/30/2019,4/28/2020,Tuesday,-64%,-18%,-57%,-64%,-53%,-45%,-67%,-84%,-87%,-68%
5/1/2019,4/29/2020,Wednesday,-60%,-42%,-54%,-63%,-50%,-49%,-67%,-84%,-88%,-67%
5/2/2019,4/30/2020,Thursday,-61%,-36%,-53%,-64%,-48%,-37%,-60%,-82%,-85%,-65%
5/3/2019,5/1/2020,Friday,-75%,-38%,-51%,-58%,-41%,-25%,-58%,-81%,-86%,-63%
5/4/2019,5/2/2020,Saturday,-76%,-76%,-67%,-68%,-61%,-69%,-68%,-87%,-88%,-74%
5/5/2019,5/3/2020,Sunday,-71%,-63%,-65%,-65%,-55%,-63%,-66%,-83%,-85%,-70%
5/6/2019,5/4/2020,Monday,-56%,-46%,-55%,-63%,-46%,-43%,-61%,-82%,-84%,-65%
5/7/2019,5/5/2020,Tuesday,-55%,-41%,-51%,-60%,-46%,-48%,-51%,-81%,-86%,-63%
5/8/2019,5/6/2020,Wednesday,-53%,-45%,-48%,-69%,-47%,-28%,-65%,-81%,-84%,-64%
5/9/2019,5/7/2020,Thursday,-58%,-26%,-39%,-53%,-34%,-42%,-49%,-80%,-84%,-57%
5/10/2019,5/8/2020,Friday,-66%,-39%,-39%,-49%,-24%,-41%,-45%,-78%,-83%,-55%
5/11/2019,5/9/2020,Saturday,-67%,-80%,-40%,-48%,-28%,-39%,-37%,-79%,-78%,-55%
5/12/2019,5/10/2020,Sunday,-61%,-30%,-37%,-46%,-21%,-39%,-59%,-74%,-78%,-50%
5/13/2019,5/11/2020,Monday,-55%,-47%,-43%,-56%,-38%,-39%,-48%,-79%,-82%,-58%
5/14/2019,5/12/2020,Tuesday,-53%,-45%,-46%,-58%,-44%,-41%,-57%,-81%,-85%,-62%
5/15/2019,5/13/2020,Wednesday,-58%,-11%,-43%,-57%,-42%,-47%,-66%,-79%,-85%,-61%
5/16/2019,5/14/2020,Thursday,-57%,-7%,-46%,-57%,-42%,-30%,-60%,-81%,-84%,-61%
5/17/2019,5/15/2020,Friday,-65%,-13%,-39%,-50%,-31%,-22%,-57%,-79%,-83%,-57%
5/18/2019,5/16/2020,Saturday,-73%,-69%,-58%,-70%,-47%,-55%,-71%,-85%,-87%,-69%
5/19/2019,5/17/2020,Sunday,-66%,-46%,-50%,-59%,-37%,-50%,-59%,-81%,-84%,-62%
5/20/2019,5/18/2020,Monday,-53%,-25%,-43%,-58%,-36%,-38%,-60%,-76%,-82%,-58%
5/21/2019,5/19/2020,Tuesday,-57%,-19%,-39%,-55%,-38%,-28%,-45%,-77%,-82%,-57%
5/22/2019,5/20/2020,Wednesday,-52%,-17%,-45%,-57%,-40%,-36%,-62%,-79%,-81%,-59%
5/23/2019,5/21/2020,Thursday,-49%,-27%,-41%,-55%,-35%,-41%,-55%,-81%,-84%,-58%
5/24/2019,5/22/2020,Friday,-60%,-7%,-39%,-49%,-31%,-34%,-58%,-76%,-81%,-54%
5/25/2019,5/23/2020,Saturday,-67%,-20%,-29%,-48%,-21%,-31%,-46%,-70%,-75%,-49%
5/26/2019,5/24/2020,Sunday,-71%,-66%,-42%,-52%,-29%,-42%,-51%,-78%,-81%,-56%
5/27/2019,5/25/2020,Monday,-65%,-53%,-50%,-59%,-45%,-47%,-65%,-82%,-84%,-64%
5/28/2019,5/26/2020,Tuesday,-39%,-8%,-36%,-53%,-31%,-19%,-49%,-76%,-84%,-54%
5/29/2019,5/27/2020,Wednesday,-45%,-34%,-25%,-50%,-21%,-17%,-39%,-74%,-83%,-49%
5/30/2019,5/28/2020,Thursday,-49%,-37%,-26%,-51%,-20%,-27%,-41%,-76%,-81%,-51%
5/31/2019,5/29/2020,Friday,-60%,-15%,-31%,-47%,-19%,-26%,-49%,-77%,-83%,-52%
6/1/2019,5/30/2020,Saturday,-69%,-67%,-53%,-66%,-52%,-58%,-59%,-85%,-84%,-67%
6/2/2019,5/31/2020,Sunday,-58%,-16%,-44%,-60%,-42%,-39%,-52%,-87%,-89%,-62%
